Source_Type	Validated	Source	Family_F	Genus_F	Species_F	Class_H	Order_H	Family_H	Subfamily_H	Tribe_H	Subtribe_H	Genus_H	Species_H	Location	Life_Stage_H	Reported_F	Reported_H	Level_Reported_H	Level_H
Journals & Books	1	NA	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps evansii	NA	NA	NA	NA	NA	NA	NA	NA	Brazil	NA	Ophiocordyceps evansii	NA	NA	NA
Journals & Books	1	NA	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps evansii	NA	NA	NA	NA	NA	NA	NA	NA	Ecuador	NA	Ophiocordyceps evansii	NA	NA	NA
Journals & Books	1	Zang & Kinjo (1998)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps falcata	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	China	Larva	Cordyceps falcata	Coleoptera	Order	Order
Journals & Books	1	Petch (1924)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps falcata	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	Sri Lanka	Larva	Cordyceps falcata	Coleoptera	Order	Order
Journals & Books	1	Berkeley (1886)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps falcata	NA	NA	NA	NA	NA	NA	NA	NA	India	NA	Cordyceps falcata	NA	NA	NA
Journals & Books	1	Kobayasi & Shimizu (1980)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps falcatoides	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	Japan	Larva	Cordyceps falcatoides	Elateroidea	Superfamily	Order
Journals & Books	1	Sato et al. (2022)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps fasciculatistromata	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	NA	NA	Ophiocordyceps fasciculatistromata	Lepidoptera	Order	Order
Journals & Books	1	Kobayasi & Shimizu (1980); Shimizu (1997)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps ferruginosa	Insecta	Diptera	Xylophagidae	NA	NA	NA	NA	NA	Japan	Larva	Cordyceps ferruginosa	Xylophagidae	Family	Family
Journals & Books	1	Li et al. (2002)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps filiformis	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	China	Larva	Cordyceps filiformis	Lepidoptera	Order	Order
Journals & Books	1	Moureau (1949)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps filiformis	Insecta	Lepidoptera	NA	NA	NA	NA	NA	NA	Republic of the Congo	Larva	Cordyceps filiformis	Lepidoptera	Order	Order
Journals & Books	1	Kobayasi (1939)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps formicarum	Insecta	Hymenoptera	Formicidae	Formicinae	Camponotini	NA	Camponotus	Camponotus herculeanus	Japan	Adult	Cordyceps formicarum	Camponotus herculeanus	Subspecies	Species
Journals & Books	1	Kawamura (1955)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps formicarum	Insecta	Hymenoptera	Formicidae	Formicinae	Camponotini	NA	Camponotus	Camponotus japonicus	"Asia"	Adult	Cordyceps formicarum	Camponotus japonicus	Species	Species
Journals & Books	1	Kobayasi (1939)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps formicarum	Insecta	Hymenoptera	Formicidae	Formicinae	Camponotini	NA	Camponotus	Camponotus obscuripes	"Asia"	Adult	Cordyceps formicarum	Camponotus obscuripes	Species	Species
Journals & Books	1	Sung (1996)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps formicarum	Insecta	Hymenoptera	Formicidae	NA	NA	NA	NA	NA	"Korea"	Adult	Cordyceps formicarum	Formicidae	Family	Family
Journals & Books	1	Li et al. (2002)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps formicarum	Insecta	Hymenoptera	Formicidae	NA	NA	NA	NA	NA	China	Adult	Cordyceps formicarum	Formicidae	Family	Family
Journals & Books	1	Liang et a. (2003)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps formicarum	Insecta	Hymenoptera	Formicidae	NA	NA	NA	NA	NA	China	Adult	Ophiocordyceps formicarum	Formicidae	Family	Family
Journals & Books	1	Tanda & Nagase (1994)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps formicarum	Insecta	Hymenoptera	Formicidae	NA	NA	NA	NA	NA	Nepal	Adult	Cordyceps formicarum	Formicidae	Family	Family
Journals & Books	1	Sung, J. M. et al. (1997)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps formicarum	Insecta	Hymenoptera	Formicidae	NA	NA	NA	NA	NA	South Korea	Adult	Cordyceps formicarum	Formicidae	Family	Family
Journals & Books	1	Lu et al. (2014)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps formosana	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	China	Larva	Ophiocordyceps formosana	Tenebrionoidea	Superfamily	Order
Journals & Books	1	Wang et al. (2015)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps formosana	Insecta	Coleoptera	NA	NA	NA	NA	NA	NA	Taiwan (China)	Larva	Ophiocordyceps formosana	Tenebrionoidea	Superfamily	Order
Journals & Books	1	Van Vooren & Audibert (2006)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Calliphoridae	NA	NA	NA	Calliphora	NA	France	NA	Cordyceps forquignonii	Calliphora	Genus	Genus
Journals & Books	1	Leatherdale (1970)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Muscidae	NA	NA	NA	Muscina	Muscina stabulans	NA	NA	Cordyceps forquignonii	Muscina stabulans	Species	Species
Journals & Books	1	Van Vooren & Audibert (2006)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Muscidae	NA	NA	NA	Phaonia	Phaonia canescens	France	Adult	Cordyceps forquignonii	Phaonia canescens	Species	Species
Journals & Books	1	Van Vooren & Audibert (2006)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Muscidae	NA	NA	NA	Phaonia	Phaonia canescens	France	Pupa	Cordyceps forquignonii	Phaonia canescens	Species	Species
Journals & Books	1	Petch (1931)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Muscidae	NA	NA	NA	Phaonia	Phaonia canescens	UK	Adult	Cordyceps forquignonii	Phaonia canescens	Species	Species
Journals & Books	1	Petch (1931)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Muscidae	NA	NA	NA	Phaonia	Phaonia canescens	UK	Pupa	Cordyceps forquignonii	Phaonia canescens	Species	Species
Journals & Books	1	Van Vooren & Audibert (2006)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Muscidae	NA	NA	NA	Phaonia	Phaonia latipalpis	France	Adult	Cordyceps forquignonii	Phaonia latipalpis	Species	Species
Journals & Books	1	Van Vooren & Audibert (2006)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Muscidae	NA	NA	NA	Phaonia	Phaonia rufiventris	France	NA	Cordyceps forquignonii	Phaonia rufiventris	Species	Species
Journals & Books	1	Van Vooren & Audibert (2006)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Muscidae	NA	NA	NA	Phaonia	Phaonia trimaculata	Switzerland	Adult	Cordyceps forquignonii	Phaonia trimaculata	Species	Species
Journals & Books	1	Van Vooren & Audibert (2006)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Muscidae	NA	NA	NA	Phaonia	Phaonia trimaculata	UK	NA	Cordyceps forquignonii	Phaonia trimaculata	Species	Species
Journals & Books	1	Leatherdale (1970)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	Scathophagidae	NA	NA	NA	Norellisoma	NA	NA	NA	Cordyceps forquignonii	Norellisoma spinimanum	Species	Species
Journals & Books	1	Vandecasteele (n.d.)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	NA	NA	NA	NA	NA	NA	Belgium	NA	Cordyceps forquignonii	Diptera	Order	Order
Journals & Books	1	Lessoe (1982)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	NA	NA	NA	NA	NA	NA	Denmark	NA	Cordyceps forquignonii	Diptera	Order	Order
Journals & Books	1	Quandt et al. (2015); Ban et al. (2015)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	NA	NA	NA	NA	NA	NA	NA	Adult	Ophiocordyceps forquignonii	Diptera	Order	Order
Journals & Books	1	Jalink & Nauta (1984)	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps forquignonii	Insecta	Diptera	NA	NA	NA	NA	NA	NA	Netherlands	NA	Cordyceps forquignonii	Diptera	Order	Order
